date,petrol_price,diesel_price,dollar_to_rupee
10-Jan-2020,75.87,69.11,70.991
11-Jan-2020,76.02,69.23,70.9577
12-Jan-2020,76.07,69.18,70.9614
13-Jan-2020,75.97,69.12,70.7271
16-Jan-2020,75.86,68.98,70.9539
17-Jan-2020,75.76,68.83,71.0409
18-Jan-2020,75.61,68.67,71.0409
19-Jan-2020,75.47,68.51,71.0508
20-Jan-2020,75.32,68.32,71.0383
21-Jan-2020,75.15,68.1,71.2426
23-Jan-2020,75.04,67.9,71.3311
24-Jan-2020,74.88,67.64,71.3263
25-Jan-2020,74.7,67.34,71.3263
26-Jan-2020,74.48,67.04,71.3288
27-Jan-2020,74.23,66.77,71.4513
28-Jan-2020,73.93,66.64,71.2402
30-Jan-2020,73.77,66.42,71.5695
31-Jan-2020,73.66,66.34,71.4969
10-Feb-2020,72.45,65.08,71.2988
11-Feb-2020,72.23,64.88,71.2854
18-Feb-2020,72.01,64.66,71.5827
27-Feb-2020,71.89,64.66,71.6959
29-Feb-2020,71.53,64.52,72.1722
10-Mar-2020,70.04,63.05,73.5691
12-Mar-2020,69.91,62.93,74.4382
13-Mar-2020,69.79,62.78,73.8863
14-Mar-2020,69.63,62.6,73.8867
15-Mar-2020,71.3,62.48,74.0161
16-Mar-2020,71.3,62.33,74.3278
10-May-2020,71.3,69.43,75.5335
11-May-2020,71.3,69.43,75.9437
12-May-2020,71.3,69.43,75.3341
13-May-2020,71.3,69.43,75.4204
14-May-2020,71.3,69.43,75.4425
15-May-2020,71.3,69.43,75.8751
16-May-2020,71.3,69.43,75.8751
17-May-2020,71.3,69.43,75.8539
18-May-2020,71.3,69.43,75.6006
19-May-2020,71.3,69.43,75.7116
20-May-2020,71.3,69.43,75.5399
21-May-2020,71.3,69.43,75.6381
22-May-2020,71.3,69.43,75.9771
24-May-2020,71.3,69.43,75.9436
25-May-2020,71.3,69.43,75.8846
26-May-2020,71.3,69.43,75.5242
27-May-2020,71.3,69.43,75.8779
28-May-2020,71.3,69.43,75.7125
29-May-2020,71.9,69.43,75.5263
30-May-2020,73.04,69.43,75.5263
10-Jun-2020,78.92,71.61,75.6739
11-Jun-2020,79.27,72.21,76.0315
12-Jun-2020,79.6,72.81,75.9549
13-Jun-2020,79.8,73.41,75.9549
14-Jun-2020,79.8,74.01,75.9522
15-Jun-2020,79.96,74.66,75.9616
16-Jun-2020,80.17,75.23,76.3733
17-Jun-2020,80.42,75.83,76.2743
18-Jun-2020,80.42,76.47,76.3882
19-Jun-2020,80.47,77.1,76.2514
20-Jun-2020,80.47,77.71,76.2514
21-Jun-2020,80.47,78.31,76.2521
22-Jun-2020,80.47,78.89,75.7731
23-Jun-2020,80.47,79.44,75.6579
24-Jun-2020,80.47,79.92,75.7674
25-Jun-2020,80.47,80.06,75.5276
26-Jun-2020,80.47,80.23,75.6249
27-Jun-2020,80.47,80.44,75.6249
28-Jun-2020,80.47,80.44,75.6125
29-Jun-2020,80.47,80.57,75.4932
30-Jun-2020,80.47,80.57,75.5596
10-Jul-2020,80.47,80.84,75.1569
11-Jul-2020,80.47,80.84,75.1925
12-Jul-2020,80.47,81.0,75.1925
13-Jul-2020,80.47,81.11,75.2183
15-Jul-2020,80.47,81.24,75.1363
16-Jul-2020,80.47,81.24,75.1779
17-Jul-2020,80.47,81.41,74.8987
18-Jul-2020,80.47,81.58,74.8987
19-Jul-2020,80.47,81.58,74.9150
20-Jul-2020,80.47,81.7,74.7488
21-Jul-2020, 80.47, 81.7, 74.5328
22-Jul-2020, 80.47, 81.7, 74.6064
23-Jul-2020, 80.47, 81.7, 74.8515
24-Jul-2020, 80.47, 81.7, 74.7218
25-Jul-2020, 80.47, 81.85, 74.7218
26-Jul-2020, 80.47, 82.0, 74.7436
27-Jul-2020, 80.47, 82.0, 74.7784
28-Jul-2020, 80.47, 82.0, 74.9151
29-Jul-2020, 80.47, 82.0, 74.8203
30-Jul-2020, 80.47, 82.0, 74.8434
31-Jul-2020, 80.47, 73.62, 74.9314
10-Aug-2020, 81.06, 73.62, 74.8738
11-Aug-2020, 81.25, 73.62, 74.6097
12-Aug-2020, 81.41, 73.62, 74.7691
13-Aug-2020, 81.55, 73.62, 74.8147
14-Aug-2020, 81.68, 73.62, 74.8524
15-Aug-2020, 81.79, 73.62, 74.8518
16-Aug-2020, 81.79, 73.62, 74.864
17-Aug-2020, 81.89, 73.62, 74.728
18-Aug-2020, 82.0, 73.62, 74.5587
19-Aug-2020, 82.0, 73.62, 74.9675
20-Aug-2020, 82.09, 73.62, 74.9908
21-Aug-2020, 82.09, 73.62, 74.9264
22-Aug-2020, 82.14, 73.62, 74.9264
23-Aug-2020, 82.14, 73.62, 74.9056
24-Aug-2020, 82.14, 73.62, 74.1767
25-Aug-2020, 82.14, 73.62, 74.2457
26-Aug-2020, 82.14, 73.62, 74.239
27-Aug-2020, 82.14, 73.62, 73.7821
28-Aug-2020, 82.14, 73.62, 73.1288
29-Aug-2020, 82.14, 73.62, 73.1288
30-Aug-2020, 82.14, 73.62, 73.1393
31-Aug-2020, 82.05, 73.62, 73.4378
10-Sep-2020, 81.2, 73.11, 73.5283
11-Sep-2020, 81.2, 73.11, 73.4765
12-Sep-2020, 81.12, 72.99, 73.4765
13-Sep-2020, 81.12, 72.99, 73.4871
14-Sep-2020, 81.12, 72.84, 73.3851
15-Sep-2020, 81.12, 72.62, 73.6216
16-Sep-2020, 81.12, 72.62, 73.5327
17-Sep-2020, 81.12, 72.43, 73.5724
18-Sep-2020, 81.12, 72.08, 73.613
19-Sep-2020, 81.12, 71.88, 73.613
20-Sep-2020, 81.12, 71.64, 73.5713
21-Sep-2020, 81.12, 71.49, 73.5766
22-Sep-2020, 81.12, 71.34, 73.5063
23-Sep-2020, 81.12, 71.34, 73.7652
24-Sep-2020, 81.12, 71.34, 73.9365
25-Sep-2020, 81.12, 71.16, 73.6994
26-Sep-2020, 81.12, 71.0, 73.6994
27-Sep-2020, 81.12, 70.85, 73.6844
28-Sep-2020, 81.12, 70.77, 73.7319
29-Sep-2020, 81.12, 70.69, 73.7139
30-Sep-2020, 81.12, 70.69, 73.5282
10-Oct-2020, 81.12, 70.51, 72.964
11-Oct-2020, 81.12, 70.51, 73.004
12-Oct-2020, 81.12, 70.51, 73.3584
13-Oct-2020, 81.12, 70.51, 73.4196
14-Oct-2020, 81.12, 70.51, 73.2974
15-Oct-2020, 81.12, 70.51, 73.3595
16-Oct-2020, 81.12, 70.51, 73.443
17-Oct-2020, 81.12, 70.51, 73.4444
18-Oct-2020, 81.12, 70.51, 73.4473
19-Oct-2020, 81.12, 70.51, 73.3828
20-Oct-2020, 81.12, 70.51, 73.4822
21-Oct-2020, 81.12, 70.51, 73.7296
22-Oct-2020, 81.12, 70.51, 73.682
23-Oct-2020, 81.12, 70.51, 73.8369
24-Oct-2020, 81.12, 70.51, 73.8369
25-Oct-2020, 81.12, 70.51, 73.8182
26-Oct-2020, 81.12, 70.51, 73.9442
27-Oct-2020, 81.12, 70.51, 73.8039
28-Oct-2020, 81.12, 70.51, 74.1812
29-Oct-2020, 81.12, 70.51, 74.2956
30-Oct-2020, 81.12, 70.51, 74.5478
31-Oct-2020, 81.12, 70.51, 74.6138
10-Nov-2020, 81.28, 70.51, 74.2974
11-Nov-2020, 81.41, 70.51, 74.5251
12-Nov-2020, 81.46, 70.51, 74.6796
13-Nov-2020, 81.53, 70.51, 74.5379
14-Nov-2020, 81.59, 70.51, 74.5379
15-Nov-2020, 81.59, 70.51, 74.5026
16-Nov-2020, 81.7, 70.51, 74.3434
17-Nov-2020, 81.89, 70.51, 74.5015
18-Nov-2020, 82.13, 70.51, 74.2549
19-Nov-2020, 82.34, 70.51, 74.1096
20-Nov-2020, 82.34, 70.72, 74.1655
21-Nov-2020, 82.34, 70.91, 74.1617
22-Nov-2020, 82.49, 71.08, 74.1421
23-Nov-2020, 82.66, 71.26, 74.246
24-Nov-2020, 82.86, 71.42, 73.9641
25-Nov-2020, 83.13, 71.42, 73.7861
26-Nov-2020, 83.41, 71.63, 73.8288
27-Nov-2020, 83.71, 71.87, 73.9337
28-Nov-2020, 83.71, 72.14, 73.9597
29-Nov-2020, 83.71, 72.43, 73.9511
30-Nov-2020, 83.71, 72.43, 74.0029
10-Dec-2020, 83.71, 73.88, 73.7842
11-Dec-2020, 83.71, 73.88, 73.7383
12-Dec-2020, 83.71, 73.88, 73.7355
13-Dec-2020, 83.71, 73.88, 73.7573
14-Dec-2020, 83.71, 73.88, 73.6454
15-Dec-2020, 83.71, 73.88, 73.5258
16-Dec-2020, 83.71, 73.88, 73.6059
17-Dec-2020, 83.71, 73.88, 73.5522
18-Dec-2020, 83.71, 73.88, 73.6098
19-Dec-2020, 83.71, 73.88, 73.6044
20-Dec-2020, 83.71, 73.88, 73.6173
21-Dec-2020, 83.71, 73.88, 73.9396
22-Dec-2020, 83.71, 73.88, 74.0614
23-Dec-2020, 83.71, 73.88, 73.8255
24-Dec-2020, 83.71, 73.88, 73.5581
25-Dec-2020, 83.71, 73.88, 73.6639
26-Dec-2020, 83.71, 73.88, 73.5569
27-Dec-2020, 83.99, 73.88, 73.7262
28-Dec-2020, 84.24, 73.88, 73.5476
29-Dec-2020, 84.24, 73.88, 73.4404
30-Dec-2020, 84.24, 73.88, 73.1842
31-Dec-2020, 84.24, 73.88, 73.0574
10-Jan-2021, 85.24, 74.42, 73.4053
11-Jan-2021, 85.24, 74.42, 73.5122
12-Jan-2021, 85.49, 74.42, 73.1379
13-Jan-2021, 85.74, 74.67, 73.1593
14-Jan-2021, 85.74, 74.92, 73.0912
15-Jan-2021, 85.74, 74.92, 73.1617
16-Jan-2021, 86.09, 74.92, 73.1278
17-Jan-2021, 86.34, 74.92, 73.179
18-Jan-2021, 86.34, 75.17, 73.1929
19-Jan-2021, 86.34, 75.42, 73.1931
20-Jan-2021, 86.34, 75.42, 72.9099
21-Jan-2021, 86.34, 75.42, 72.9796
22-Jan-2021, 86.34, 75.67, 72.9972
23-Jan-2021, 86.34, 75.92, 72.9972
24-Jan-2021, 86.34, 75.92, 72.9953
25-Jan-2021, 86.69, 75.92, 72.9713
26-Jan-2021, 86.99, 76.27, 72.908
27-Jan-2021, 86.99, 76.52, 73.0227
28-Jan-2021, 86.99, 76.52, 72.9652
29-Jan-2021, 86.99, 76.52, 72.9086
30-Jan-2021, 87.34, 76.52, 72.9094
31-Jan-2021, 87.64, 76.52, 72.9211
10-Feb-2021, 90.62, 77.77, 72.8076
11-Feb-2021, 90.62, 78.07, 72.7119
12-Feb-2021, 90.62, 78.42, 72.5894
13-Feb-2021, 90.97, 78.78, 72.591
14-Feb-2021, 90.97, 79.1, 72.6021
15-Feb-2021, 90.97, 79.39, 72.6434
